차종,가격,연식,배기량,주행거리,색상,변속기,연료,선루프,LED헤드램프,어댑티드헤드램프,가죽시트,열선시트(앞좌석),통풍시트,후방센서,스마트키,네비게이션(순정),네비게이션(비순정),전손유무,소유자 이전 횟수,침수유무
기아 더 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스 스페셜,"2,500만원",2019.01,"2,199 cc (202마력)","131,000 km",검정색,자동,디젤,0,1,0,1,1,1,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
현대 포니2 픽업,650만원,1988.02,"1,499 cc ()","87,000 km",흰색,수동,가솔린,,,,,,,,,,,,,
현대 뉴 에쿠스 3.8 VS380 프라임,430만원,2010.05,"3,778 cc (290마력)","259,000 km",검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 6회, 침수분손 : 0 
현대 포터2 파워게이트,"1,400만원",2018.06,"2,497 cc ()","99,364 km",흰색,수동,디젤,0,0,0,0,1,0,0,0,0,1,전손: 0 , 0회, 침수분손 : 0 
KG모빌리티 렉스턴 스포츠 칸 2.2 디젤 4WD 5링크 프레스티지,"1,490만원",2021.02,"2,157 cc (187마력)","147,378 km",빨간색,자동,디젤,0,0,0,0,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 스포티지 더 볼드 2.0 디젤 2WD 프레스티지,"1,800만원",2018.12,"1,995 cc (186마력)","66,819 km",흰색,자동,디젤,1,0,0,1,1,1,1,1,1,0,,,
현대 쏠라티 캠핑카 럭셔리 4인승,"9,800만원",2022.04,"2,497 cc (170마력)","12,180 km",흰색,자동,디젤,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기타 국산차 캠핑카 - -,"7,900만원",2022.07,"2,199 cc ()","7,751 km",흰색투톤,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
현대 그랜저HG 220 디젤 프리미엄,850만원,2015.01,"2,199 cc (202마력)","190,000 km",청옥색,자동,디젤,0,0,0,1,1,1,1,1,1,0,전손: 0 , 4회, 침수분손 : 0 
기아 뉴 스포티지 2.0 디젤 2WD TLX 고급형,330만원,2009.02,"1,991 cc (151마력)","240,000 km",은색,자동,디젤,,,,,,,,,,,전손: 0 , 3회, 침수분손 : 0 
기아 셀토스 1.6 가솔린 터보 2WD 프레스티지,"1,870만원",2019.11,"1,591 cc (177마력)","59,848 km",흰색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,,,
현대 그랜드스타렉스  캠핑카 -,"2,300만원",2013.12,"2,497 cc (174마력)","153,600 km",흰색,자동,디젤,,,,,,,,,,,,,
기아 봉고3 내장 탑차,"1,300만원",2017.1,"2,497 cc (126마력)","85,000 km",흰색,자동,디젤,,,,,,,,,,,전손: 0 , 3회, 침수분손 : 0 
기아 더 뉴 모닝 1.0 밴 고급형,450만원,2016.08,998 cc (78마력),"92,230 km",검정색,자동,가솔린,0,0,0,0,0,0,0,0,0,0,전손: 0 , 3회, 침수분손 : 0 
제네시스 G90 2세대 3.5 터보 AWD,,2023.09,"3,470 cc (380마력)","7,600 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 팰리세이드 2.2 디젤 2WD 캘리그래피,"3,590만원",2020.12,"2,199 cc (202마력)","50,000 km",흰색,자동,디젤,1,1,0,1,1,1,1,1,1,0,전손: 0 , 1회, 침수분손 : 0 
기아 올 뉴 카니발 2.2 디젤 9인승  노블레스,"2,100만원",2014.09,"2,199 cc (202마력)","140,000 km",검정색,자동,디젤,1,1,1,1,1,1,1,1,1,0,전손: 0 , 7회, 침수분손 : 0 
KG모빌리티 토레스  1.5 가솔린 2WD T5,"2,520만원",2023.04,"1,497 cc (170마력)","13,966 km",흰색,자동,가솔린,1,1,0,1,1,0,1,0,1,0,,,
현대 제네시스 DH G330 AWD 프리미엄,"2,000만원",2014.06,"3,342 cc (282마력)","84,370 km",은색,자동,가솔린,1,0,0,1,1,1,1,1,1,0,전손: 0 , 1회, 침수분손 : 0 
현대 스타리아  2.2 디젤 캠핑카 -,[계약],2021.11,"2,199 cc (177마력)","21,290 km",은색,자동,디젤,0,0,0,1,1,1,1,1,1,0,,,
KG모빌리티 렉스턴W  2.0 디젤 2WD RX7 럭셔리,680만원,2015.07,"1,998 cc (155마력)","136,000 km",흰색,자동,디젤,0,0,0,1,0,0,0,0,0,0,,,
기아 스포티지 더 볼드 2.0 디젤 2WD 프레스티지,"2,590만원",2021.02,"1,995 cc (186마력)","20,000 km",흰색,자동,디젤,1,1,1,1,1,1,1,1,1,0,전손: 0 , 1회, 침수분손 : 0 
기아 뉴 그랜버드 실크로드 47인승 자가용,"1,500만원",2011.04,"12,742 cc ()","600,000 km",빨간색,수동,디젤,0,0,0,0,0,0,0,0,0,0,전손: 0 , 1회, 침수분손 : 0 
현대 싼타페DM 2.0 디젤 4WD  프리미엄,"1,230만원",2013.04,"1,995 cc (184마력)","98,000 km",흰색,자동,디젤,1,0,0,1,1,1,1,1,0,0,전손: 0 , 2회, 침수분손 : 0 
현대 맥스크루즈 2.2 디젤 2WD 익스클루시브,"1,350만원",2015.09,"2,199 cc (202마력)","86,000 km",흰색,자동,디젤,0,0,0,0,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대 3.5 가솔린 하이리무진,,2024.02,"3,470 cc (294마력)",150 km,검정색,자동,가솔린,0,0,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 코나  1.6 가솔린 터보 4WD 프리미엄,"1,690만원",2018.05,"1,591 cc (177마력)","11,122 km",진회색,자동,가솔린,0,1,0,1,1,1,0,0,0,0,,,
기아 뉴 콩코드 1.8 GXi,450만원,1994.12,"1,789 cc (95마력)","78,955 km",검정색,수동,가솔린,,,,,,,,,,,전손: 0 , 6회, 침수분손 : 0 
기아 카니발 4세대  3.5 가솔린 하이리무진  -,"7,220만원",2023,"3,470 cc (294마력)",9 km,흰색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
현대 아반떼AD 1.6 터보 스포츠 DCT,"1,200만원",2016.09,"1,591 cc (204마력)","196,000 km",흰색,자동,가솔린,1,0,0,1,1,0,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
쉐보레 캡티바 2.0 디젤 2WD LT 프리미엄,290만원,2012.03,"1,998 cc (163마력)","270,000 km",흰색,자동,디젤,1,0,0,1,1,0,1,0,1,0,전손: 0 , 5회, 침수분손 : 0 
현대 그랜저HG 300  로얄,500만원,2011.11,"2,999 cc (270마력)","158,973 km",은색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
현대 제네시스 DH G330 프리미엄,900만원,2014.05,"3,342 cc (282마력)","230,000 km",검정색,자동,가솔린,1,0,1,1,0,1,1,1,1,0,전손: 0 , 4회, 침수분손 : 0 
현대 YF쏘나타 2.0 LPi  프리미어,630만원,2011.05,"1,998 cc (157마력)","60,790 km",검정색,자동,LPG,0,1,0,1,1,0,1,1,0,1,전손: 0 , 1회, 침수분손 : 0 
기아 K8 2.5  노블레스,,2021.06,"2,497 cc (198마력)","23,238 km",흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
기아 올 뉴 카니발  3.3 가솔린 7인승 하이리무진 프레지던트,"2,390만원",2016.03,"3,342 cc (280마력)","78,000 km",검정색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,,,
기아 더 뉴 카니발  2.2 디젤 7인승 리무진 VIP,"2,480만원",2019.06,"2,199 cc (202마력)","56,707 km",검정색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
현대 포터2 슈퍼캡 내장탑차 스마트,"1,350만원",2020.02,"2,497 cc (133마력)","86,939 km",흰색,자동,디젤,0,0,0,0,1,1,0,0,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 더 뉴 카니발  3.3 가솔린 9인승 하이리무진 노블레스 스페셜,"3,990만원",2020.02,"3,342 cc (280마력)","30,000 km",흰색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
현대 팰리세이드 2.2 디젤 2WD 익스클루시브,"2,740만원",2020.05,"2,199 cc (202마력)","89,000 km",흰색,자동,디젤,0,1,0,0,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 올 뉴 카니발  3.3 가솔린 9인승 하이리무진 노블레스,"2,660만원",2017.06,"3,342 cc (280마력)","83,000 km",흰색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,,,
르노코리아 SM7 뉴 아트 2.3 프레스티지,489만원,2009.12,"2,349 cc (170마력)","183,500 km",진회색,자동,가솔린,1,0,0,1,1,0,1,1,0,1,전손: 0 , 3회, 침수분손 : 0 
GM대우 티코 0.8 슈퍼,350만원,1996.09,796 cc (41마력),"102,000 km",보라색,수동,가솔린,0,0,0,0,0,0,0,0,0,1,전손: 0 , 4회, 침수분손 : 0 
현대 더 뉴 제네시스 쿠페  2.0 터보 S,"1,120만원",2012.09,"1,998 cc (275마력)","120,000 km",흰색,자동,가솔린,1,0,0,1,0,0,1,1,1,0,,,
쉐보레 스파크 1.0  LS 스타,200만원,2011.08,995 cc (70마력),"136,000 km",검정색,자동,가솔린,0,0,0,1,1,0,1,0,0,0,전손: 0 , 5회, 침수분손 : 0 
기아 더 프레스티지 K7 3.0  프레스티지,790만원,2012.1,"2,999 cc (270마력)","96,684 km",진주색,자동,디젤,1,0,0,1,1,1,1,1,1,0,전손: 0 , 3회, 침수분손 : 0 
현대 그랜저HG 240 모던,500만원,2012.04,"2,359 cc (201마력)","199,000 km",검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 1회, 침수분손 : 0 
현대 스타리아  2.2 디젤 캠핑카 -,"4,600만원",2021.05,"2,199 cc (177마력)","38,000 km",흰색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
대우 티코 0.8 SE,790만원,1996.1,796 cc (41마력),"121,600 km",베이지색,수동,가솔린,,,,,,,,,,,전손: 0 , 11회, 침수분손 : 0 
현대 싼타페 더 프라임  2.0 디젤 4WD 밸류 플러스,"2,150만원",2017.05,"1,995 cc ()","99,650 km",검정색,자동,디젤,0,0,0,1,1,1,1,1,1,0,,,
쌍용 뉴코란도 2.9 디젤 밴 4WD 290S 고급형,450만원,2002.08,"2,874 cc (120마력)","290,000 km",은하늘색,수동,디젤,0,0,0,1,0,0,0,0,0,0,전손: 0 , 7회, 침수분손 : 0 
현대 더 뉴 아반떼 1.6  모던,850만원,2014.1,"1,591 cc (140마력)","95,694 km",검정색,자동,가솔린,0,0,0,1,0,0,1,1,0,0,,,
KG모빌리티 더 뉴 코란도 스포츠  2.2 디젤 4WD CX7 패션,859만원,2017.03,"2,157 cc (178마력)","149,948 km",은색,자동,디젤,0,0,0,1,1,1,1,1,0,1,,,
제네시스 G80  3.3 프리미엄 럭셔리,"2,490만원",2017.04,"3,342 cc (282마력)","67,844 km",검정색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,,,
기아 더 뉴 카니발 4세대  3.5 가솔린 하이리무진  -,"6,380만원",2024,"3,470 cc (294마력)",5 km,흰색 (스노우 화이트 펄),자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
기타 국산차 캠핑카,"5,000만원",2019.03,"2,497 cc ()","25,300 km",흰색,자동,디젤,0,0,0,0,1,0,1,0,0,1,전손: 0 , 1회, 침수분손 : 0 
현대 포터2 더블캡 내장탑차,340만원,2006.01,"2,476 cc ()","90,565 km",청색,수동,디젤,0,0,0,0,1,0,0,0,0,0,전손: 0 , 4회, 침수분손 : 0 
현대 쏘나타2  1.8 GL,600만원,1994.02,"1,796 cc (135마력)","171,000 km",회색 (블루),수동,가솔린,,,,,,,,,,,,,
현대 캠핑카 캠핑카,"4,600만원",2012.02,"2,497 cc ()","37,500 km",흰색투톤,자동,디젤,0,,,0,1,0,1,0,,,전손: 0 , 0회, 침수분손 : 0 
현대 포터2  활어운반차 -,"1,250만원",2020.1,"2,497 cc ()","193,000 km",흰색,수동,디젤,0,0,0,1,1,0,1,0,0,0,,,
현대 포터2  CRDi 슈퍼캡 초장축 프리미엄,900만원,2016.1,"2,497 cc ()","183,000 km",흰색,자동,디젤,,,,,,,,,,,,,
기아 더 뉴 레이  1.0 밴 -,550만원,2018.08,998 cc (78마력),"189,000 km",흰색,자동,가솔린,,,,,,,,,,,,,
현대 포터2  활어운반차 -,"1,900만원",2020.11,"2,497 cc ()","11,000 km",흰색,수동,디젤,0,0,0,1,1,0,1,0,0,0,,,
현대 포터2  파워게이트 -,"1,190만원",2019.02,"2,497 cc ()","194,200 km",흰색,수동,디젤,0,0,0,1,1,0,1,0,0,0,,,
쉐보레 카마로 SS 6.2 V8 볼케이노 레드,"2,980만원",2016.11,"6,162 cc (453마력)","38,500 km",빨간색,자동,가솔린,1,0,0,1,1,1,1,1,1,0,전손: 0 , 3회, 침수분손 : 0 
제네시스 GV70 2.5 터보 AWD,"4,980만원",2021.07,"2,497 cc (304마력)","67,816 km",검정색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,전손: 0 , 3회, 침수분손 : 0 
현대 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD 스마트,990만원,2015.09,"2,497 cc (175마력)","157,000 km",회색,자동,디젤,0,0,0,0,0,0,1,0,0,1,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 3.0 디젤 AWD 5인승,"6,500만원",2021.01,"2,996 cc (278마력)","68,930 km",검정색,자동,디젤,0,1,0,1,1,1,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
기아 모하비 더 마스터  3.0 디젤 4WD 6인승 마스터즈,[계약],2020.02,"2,959 cc (260마력)","98,000 km",검정색,자동,디젤,1,1,1,1,1,1,1,1,1,0,,,
기아 더 뉴 모닝 1.0 바이퓨얼 스마트,460만원,2015.1,998 cc (78마력),"122,700 km",흰색,자동,가솔린/LPG겸용,0,0,0,1,1,0,1,0,1,0,전손: 0 , 8회, 침수분손 : 0 
기아 봉고3 덤프 4WD,"10,020만원",2006.11,"2,902 cc (126마력)","107,000 km",청색,수동,디젤,,,,,,,,,,,전손: 0 , 7회, 침수분손 : 0 
현대 포터2 슈퍼캡 내장탑차  초장축 디럭스,"630,000만원",2014.06,"2,497 cc ()","199,400 km",흰색,수동,디젤,,,,,,,,,,,전손: 0 , 4회, 침수분손 : 0 
현대 더 뉴 제네시스 쿠페  3.8 GT P,"1,390만원",2013.01,"3,778 cc (350마력)","114,000 km",검정색,자동,가솔린,0,1,0,1,0,0,1,1,1,0,,,
현대 그랜저HG 300 익스클루시브,700만원,2015.11,"2,999 cc (270마력)","194,500 km",검정색,자동,가솔린,1,0,0,1,1,1,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
르노삼성 SM5 뉴 임프레션 2.0 LE 익스클루시브,200만원,2009.01,"1,998 cc (143마력)","166,866 km",검정색,자동,가솔린,0,0,0,1,0,0,0,1,0,0,전손: 0 , 0회, 침수분손 : 0 
현대 싼타페TM 2.2 디젤 2WD 익스클루시브,"3,000만원",2023.08,"2,497 cc (202마력)","9,057 km",흰색투톤,자동,가솔린,0,1,0,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 그랜드스타렉스  캠핑카 -,[계약],2016.03,"2,497 cc (174마력)","151,215 km",청옥색,자동,디젤,0,0,0,1,1,0,1,0,0,1,,,
현대 제네시스 쿠페  2.0 터보 RW,490만원,2009.06,"1,998 cc (210마력)","172,000 km",진회색,자동,가솔린,1,0,0,1,1,0,1,1,0,1,,,
쉐보레 더 넥스트 스파크 1.0 LTZ,590만원,2016.01,999 cc (75마력),"54,000 km",베이지색,자동,가솔린,0,0,0,0,0,0,0,1,0,0,전손: 0 , 3회, 침수분손 : 0 
현대 맥스크루즈  2.2 디젤 4WD 익스클루시브 스페셜,"1,290만원",2013.06,"2,199 cc (200마력)","136,000 km",검정색,자동,디젤,0,0,0,1,1,1,1,1,1,0,,,
기아 봉고3 크레인,890만원,2005.12,"2,902 cc ()","181,689 km",흰색,수동,디젤,0,0,0,1,0,0,0,0,0,0,,,
GM대우 라세티 프리미어 1.6 SX 고급형,"2,000만원",2009.09,"1,598 cc (114마력)","150,000 km",진주색,자동,가솔린,,,,,,,,,,,전손: 0 , 3회, 침수분손 : 0 
현대 제네시스 DH G380 AWD 익스클루시브,"2,350만원",2016.05,"3,778 cc (315마력)","53,100 km",회색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,전손: 0 , 1회, 침수분손 : 0 
기아 더 뉴 카니발  2.2 디젤 9인승 하이리무진 노블레스 스페셜,"3,190만원",2019.01,"2,199 cc (202마력)","112,600 km",흰색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
현대 더 뉴 팰리세이드 3.8 가솔린 2WD 프레스티지,"3,950만원",2023.08,"3,778 cc (295마력)","6,500 km",남색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대  3.5 가솔린 하이리무진  -,"7,500만원",2023.01,"3,470 cc (294마력)","22,000 km",검정색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
쉐보레 타호  6.2 4WD 다크 나이트,,2023.02,"6,162 cc (426마력)","18,000 km",흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
제네시스 GV80 3.0 디젤 AWD 7인승,"6,600만원",2020.12,"2,996 cc (278마력)","45,000 km",연금색,자동,디젤,0,1,1,1,1,1,0,0,0,0,전손: 0 , 0회, 침수분손 : 0 
기아 모하비 더 마스터  3.0 디젤 4WD 5인승 마스터즈,"3,200만원",2019.11,"2,959 cc (260마력)","66,659 km",검정색,자동,디젤,1,1,0,0,1,1,1,1,1,0,,,
현대 그랜저 뉴 럭셔리 Q270 럭셔리,280만원,2009.09,"2,656 cc (195마력)","193,000 km",검정색,자동,가솔린,0,0,0,1,0,0,0,0,0,0,전손: 0 , 0회, 침수분손 : 0 
현대 제네시스 BH330 모던,750만원,2013.09,"3,342 cc (300마력)","128,000 km",검정색,자동,가솔린,,,,,,,,,,,전손: 0 , 0회, 침수분손 : 0 
쉐보레 캡티바 2.2 디젤 4WD LTZ,730만원,2014.01,"2,231 cc ()","107,300 km",흰색,자동,디젤,1,1,0,1,1,0,1,1,0,1,전손: 0 , 0회, 침수분손 : 0 
현대 벨로스터 1.6 터보 D 스펙,450만원,2012.05,"1,591 cc (204마력)","207,000 km",흰색,자동,가솔린,1,0,0,1,1,0,1,1,1,0,전손: 0 , 9회, 침수분손 : 0 
현대 올 뉴 마이티  3.5톤 윙바디 -,"4,100만원",2016.09,"3,933 cc ()","79,000 km",기타색상,수동,디젤,,,,,,,,,,,,,
기아 봉고3  CRDi 킹캡 초장축 럭셔리,520만원,2009.05,"2,902 cc ()","103,000 km",흰색,수동,디젤,,,,,,,,,,,,,
현대 유니버스 리무진 25인승,"3,800만원",2013.01,"12,742 cc ()","555,747 km",파란색,수동,디젤,0,0,0,1,0,0,0,0,0,0,전손: 0 , 7회, 침수분손 : 0 
현대 에쿠스 3.3 JS 330 고급형,170만원,2006.03,"3,342 cc (247마력)","288,000 km",검정색,자동,가솔린,0,0,0,1,0,0,1,0,0,0,전손: 0 , 5회, 침수분손 : 0 
현대 베라크루즈 3.0 디젤 2WD VXL,570만원,2007.07,"2,959 cc (255마력)","248,000 km",은색투톤,자동,디젤,1,0,1,1,0,0,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
제네시스 GV80 쿠페  2.5 터보 AWD -,"8,750만원",2024.01,"2,497 cc (304마력)",10 km,흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
현대 그랜저HG 220 디젤 프리미엄,850만원,2015.06,"2,199 cc (202마력)","198,727 km",은색,자동,디젤,1,0,0,1,0,1,1,1,0,0,전손: 0 , 2회, 침수분손 : 0 
제네시스 G80 3.3 AWD  프리미엄 럭셔리,"1,999만원",2016.08,"3,342 cc (282마력)","181,726 km",검정색,자동,가솔린/LPG겸용,0,1,1,1,1,1,1,1,1,0,전손: 0 , 6회, 침수분손 : 0 
현대 제네시스 쿠페 3.8 GT RW,470만원,2009.1,"3,778 cc (303마력)","2,322,500 km",진회색,자동,가솔린,1,0,0,1,1,0,1,1,1,0,전손: 0 , 5회, 침수분손 : 0 
기아 K5  1.6 터보 프레스티지,"2,300만원",2021.08,"1,598 cc (180마력)","29,000 km",진회색,자동,가솔린,0,1,1,1,1,1,1,0,0,0,전손: 0 , 0회, 침수분손 : 0 
현대 e-에어로타운  캠핑카 -,"5,800만원",2013.07,"5,899 cc (225마력)","54,000 km",흰색,수동,디젤,,,,,,,,,,,전손: 0 , 1회, 침수분손 : 0 
기아 더 뉴 봉고3 킹캡  초장축 L,"1,850만원",2022.01,"2,497 cc (133마력)","25,810 km",베이지색,자동,디젤,0,0,0,1,1,0,0,0,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 더 뉴 팰리세이드 2.2 디젤 2WD 프레스티지,"3,400만원",2021.11,"2,199 cc (202마력)","22,000 km",기타색상,자동,디젤,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 더 뉴 레이 1.0 트렌디,"1,100만원",2018.06,998 cc (78마력),"5,081 km",흰색,자동,가솔린,0,0,0,1,1,0,1,0,0,0,전손: 0 , 0회, 침수분손 : 0 
기아 더 프레스티지 K7 2.4 프레스티지,650만원,2012.07,"2,359 cc (201마력)","116,700 km",은색,자동,가솔린,1,0,0,1,1,1,1,1,1,0,전손: 0 , 1회, 침수분손 : 0 
현대 포터2  캠핑카 -,"3,200만원",2017.08,"2,497 cc (133마력)","34,291 km",흰색,자동,디젤,,,,,,,,,,,전손: 0 , 2회, 침수분손 : 0 
현대 그랜저HG 300 익스클루시브,"1,100만원",2014.08,"2,999 cc (270마력)","163,000 km",흰색,자동,가솔린,0,0,1,1,1,1,1,1,0,1,전손: 0 , 9회, 침수분손 : 0 
현대 팰리세이드  3.8 가솔린 4WD 프레스티지,"3,300만원",2021.06,"3,778 cc (295마력)","9,900 km",검정색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
현대 e-카운티  캠핑카 -,"2,500만원",2007.08,"3,900 cc ()","262,000 km",흰색투톤,수동,디젤,,,,,,,,,,,,,
기아 더 뉴 봉고3 킹캡 초장축 GL,"1,950만원",2023.04,"2,497 cc (133마력)",11 km,흰색,자동,디젤,0,0,0,0,1,0,1,0,0,0,전손: 0 , 1회, 침수분손 : 0 
기아 K8 3.5 AWD  플래티넘,"4,200만원",2022.12,"3,470 cc (300마력)","6,753 km",흰색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 그랜드스타렉스 캠핑카,"3,800만원",2015.09,"2,497 cc (174마력)","92,000 km",회색,자동,디젤,,,,,,,,,,,전손: 0 , 1회, 침수분손 : 0 
현대 더 뉴 그랜드스타렉스  2.5 디젤 캠핑카 2WD,"7,390만원",2021.03,"2,497 cc (175마력)","14,000 km",은색,자동,디젤,,,,,,,,,,,,,
현대 그랜드스타렉스  캠핑카 -,"3,190만원",2016.03,"2,497 cc (174마력)","103,000 km",검정색,자동,디젤,,,,,,,,,,,,,
현대 그랜드스타렉스  캠핑카 -,"2,700만원",2014.02,"2,497 cc (174마력)","141,000 km",검정색,자동,디젤,,,,,,,,,,,,,
기아 K5 2.0 LPi 프레스티지,490만원,2010.07,"1,998 cc (144마력)","176,051 km",흰색투톤,자동,LPG,0,0,0,0,1,0,1,1,1,0,전손: 0 , 7회, 침수분손 : 0 
현대 더 뉴 제네시스 쿠페 3.8 GT R,"1,450만원",2014.04,"3,778 cc (350마력)","136,000 km",파란색,자동,가솔린,1,0,0,1,1,0,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
기타 국산차 기타,"4,000만원",2016.01,"3,933 cc ()","668,784 km",흰색,수동,디젤,,,,,,,,,,,전손: 0 , 2회, 침수분손 : 0 
기아 더 뉴 K7  3.0 프레스티지,"1,030만원",2015.06,"2,999 cc (270마력)","134,109 km",검정색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,,,
현대 포터2  슈퍼캡 초장축 스타일,890만원,2015.1,"2,497 cc ()","91,000 km",흰색,수동,디젤,,,,,,,,,,,,,
제네시스 더 올 뉴 G80 2.5 터보,"4,500만원",2021.01,"2,497 cc (304마력)","33,000 km",진회색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
르노코리아 QM5 네오 2.0 디젤 4WD  SE,650만원,2014.03,"1,995 cc (173마력)","210,000 km",진주색,자동,디젤,0,0,0,1,0,0,1,1,0,0,전손: 0 , 3회, 침수분손 : 0 
기아 더 프레스티지 K7  2.4 프레스티지,620만원,2012.04,"2,359 cc (201마력)","141,000 km",흰색,자동,가솔린,1,0,0,1,0,1,1,1,0,1,,,
제네시스 더 뉴 G70 3.3 터보 AWD,"4,960만원",2023.11,"3,342 cc (370마력)",500 km,검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기타 국산차 전기차,320만원,2020.07,109 cc (),"15,500 km",빨간색,자동,전기,0,0,0,0,0,0,0,0,0,0,전손: 0 , 4회, 침수분손 : 0 
기아 그랜드 카니발 R  2.2 디젤 프레지던트,700만원,2012.06,"2,199 cc (197마력)","124,000 km",검정색,자동,디젤,1,0,0,1,1,0,1,0,1,0,,,
현대 그랜드스타렉스  2.5 디젤 밴 5인승 2WD CVX 럭셔리,670만원,2012.1,"2,497 cc (174마력)","121,000 km",은색,수동,디젤,0,0,0,1,1,0,1,0,0,0,,,
기아 스포티지R  2.0 디젤 2WD TLX 고급형,600만원,2010.1,"1,995 cc (184마력)","139,000 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,0,1,,,
GM대우 마티즈 크리에이티브  1.0 재즈 스타,240만원,2010.09,995 cc (70마력),"124,000 km",하늘색,자동,가솔린,0,0,0,1,1,0,1,0,0,0,,,
현대 포터2 CRDi 슈퍼캡  초장축 스마트,"2,200만원",2023.1,"2,497 cc ()",761 km,흰색,자동,디젤,0,0,0,0,0,1,1,0,0,0,전손: 0 , 0회, 침수분손 : 0 
기아 올 뉴 쏘렌토 2.0 디젤 2WD  디럭스,"1,100만원",2016.08,"1,995 cc (186마력)","163,618 km",진회색,자동,디젤,0,0,0,1,0,0,1,0,0,0,전손: 0 , 3회, 침수분손 : 0 
현대 포터2 TCi 슈퍼캡 장축 SUP 일반형,"2,100만원",2023.06,"2,497 cc ()","20,380 km",청색,자동,디젤,0,0,0,1,1,1,1,0,0,0,전손: 0 , 2회, 침수분손 : 0 
제네시스 GV70 2.5 터보 AWD,"5,200만원",2021.04,"2,497 cc (304마력)","17,000 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,전손: 0 , 2회, 침수분손 : 0 
기아 카니발 4세대  3.5 가솔린 하이리무진  -,"4,500만원",2023.07,"3,470 cc (294마력)","2,854 km",흰색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
기아 카니발 4세대  3.5 가솔린 하이리무진  -,"5,500만원",2022.01,"3,470 cc (294마력)","40,197 km",검정색,자동,가솔린,0,1,0,1,1,1,1,0,0,0,,,
현대 팰리세이드 3.8 가솔린 2WD 프레스티지,"30,000,000만원",2020.1,"3,778 cc (295마력)","21,754 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,전손: 0 , 0회, 침수분손 : 0 
현대 싼타페DM 2.0 디젤 2WD 스마트,650만원,2013.1,"1,995 cc (184마력)","230,462 km",진회색,자동,디젤,0,0,0,1,0,0,1,0,1,0,전손: 0 , 1회, 침수분손 : 0 
